,GrLivArea,GarageCars,BsmtQual_Ex,BsmtFinType1_GLQ,TotalBsmtSF,RoofMatl_ClyTile,KitchenAbvGr,KitchenQual_Ex,Condition2_PosN,KitchenQual_Gd,OverallQual_10,LotArea,YearBuilt,YrSold,OverallQual_9,OverallQual_8,BsmtFinSF1,SaleType_New,Neighborhood_Crawfor,OverallQual_7,OverallCond_7,Neighborhood_NoRidge,BsmtExposure_Gd,OverallCond_8,OverallCond_6,OverallCond_9,Neighborhood_StoneBr,MSSubClass_160,Exterior1st_BrkFace,Neighborhood_NridgHt,Neighborhood_Somerst,RoofMatl_WdShngl,SaleCondition_Abnorml,PoolArea,LowQualFinSF,Functional_Maj1,Neighborhood_BrkSide,MSSubClass_120,Fireplaces,OverallCond_3,LotConfig_CulDSac,MasVnrArea,PoolQC_Fa,ScreenPorch,RoofMatl_Tar&Grv,OverallCond_4,Condition1_RRAe,Condition1_Artery,Street_Grvl,MSSubClass_180,BedroomAbvGr,MoSold,BsmtFinSF2,Foundation_CBlock,LandSlope_Sev,Neighborhood_Mitchel,Condition1_Feedr,Functional_Sev,Functional_Min1,Neighborhood_NPkVill,Functional_Min2,MSZoning_C (all),GarageArea,FireplaceQu_Ex,PoolQC_Gd,GarageType_2Types,Neighborhood_NWAmes,GarageCond_Not_Avail,Foundation_Wood,Neighborhood_Edwards,Heating_OthW,PoolQC_Ex,SaleType_Con,LandSlope_Mod,3SsnPorch,YearRemodAdd,Functional_Maj2,RoofMatl_Membran,Functional_Mod,LotShape_IR2,LotConfig_FR2,FullBath,BsmtExposure_Av,LandContour_Bnk,Utilities_NoSeWa,TotRmsAbvGrd,MasVnrType_BrkCmn,Foundation_BrkTil,MasVnrType_BrkFace,SaleCondition_Family,ExterCond_Gd,LandContour_Low,RoofMatl_Metal,SaleType_ConLD,BsmtFinType2_ALQ,Exterior2nd_Plywood,Exterior2nd_HdBoard,Neighborhood_SawyerW,MSSubClass_40,Neighborhood_BrDale,MSZoning_RM,WoodDeckSF,GarageQual_Ex,SalePrice
0,1710,2,0,1,856,0,1,0,0,1,0,8450,2003,2008,0,0,706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,0,0,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208500
1,1262,2,0,0,1262,0,1,0,0,0,0,9600,1976,2007,0,0,978,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,1,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,1976,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,181500
2,1786,2,0,1,920,0,1,0,0,1,0,11250,2001,2008,0,0,486,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223500
3,1717,3,0,0,756,0,1,0,0,1,0,9550,1915,2006,0,0,216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,1970,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000
4,2198,3,0,1,1145,0,1,0,0,1,0,14260,2000,2008,0,1,655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,1,2,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,192,0,250000
5,1362,2,0,1,796,0,1,0,0,0,0,14115,1993,2009,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,480,0,0,0,0,0,1,0,0,0,0,0,320,1995,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,143000
6,1694,2,1,1,1686,0,1,0,0,1,0,10084,2004,2007,0,1,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,186,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,307000
7,2090,2,0,0,1107,0,1,0,0,0,0,10382,1973,2009,0,0,859,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,240,0,0,0,0,0,0,0,0,3,11,32,1,0,0,0,0,0,0,0,0,484,0,0,0,1,0,0,0,0,0,0,0,0,1973,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,235,0,200000
8,1774,2,0,0,952,0,2,0,0,0,0,6120,1931,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,129900
9,1077,1,0,1,991,0,2,0,0,0,0,7420,1939,2008,0,0,851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000
